System,Utterance,H:overall,S3_pyr,S3_resp,ROUGE_WE_1,ROUGE_WE_2,JS_1,JS_2,ROUGE_L,ROUGE_1,ROUGE_2,BLEU,Chrfpp,BERTScore,MoverScore
92,M1,2.3333333333333335,0.3543063192026229,0.4221852826865511,0.3235294117647059,0.27586206896551724,-0.49497771069842766,-0.6556581709186915,0.29411764705882354,0.38235294117647056,0.06896551724137931,6.019608768705656,0.31482745444055155,0.6288945078849792,0.14205256603706795
92,M2,1.3333333333333333,0.05489122849773098,0.2692408150136648,0.08823529411764706,0.10344827586206898,-0.6239148632200237,-0.6931471805599452,0.08823529411764706,0.14705882352941177,0.0,3.4197980307804725,0.11560199077015215,0.561690628528595,0.027732082916195555
92,M3,2.6666666666666665,0.06837494012140977,0.28836704007353076,0.11764705882352941,0.06896551724137931,-0.5929024457354373,-0.6931471805599452,0.08823529411764706,0.17647058823529413,0.0,10.682175159905853,0.16883467491208384,0.657828688621521,0.2564304722666172
92,M4,2.6666666666666665,-0.00980022007178627,0.23409161885286578,0.23529411764705882,0.034482758620689655,-0.5929024457354373,-0.6931471805599452,0.11764705882352941,0.14705882352941177,0.0,7.267884212102741,0.1199079398591775,0.6534767150878906,0.21659130010349972
92,M5,1.0,-0.046409970977301485,0.22012417006948504,0.08823529411764706,0.034482758620689655,-0.6698605542973788,-0.6931471805599452,0.058823529411764705,0.08823529411764706,0.0,5.522397783539471,0.13698430321390243,0.540131151676178,0.06602544204929812
92,M6,3.0,0.25610780539901234,0.37710924326578,0.20588235294117646,0.2413793103448276,-0.482725372356522,-0.639958582173194,0.20588235294117646,0.23529411764705882,0.06896551724137931,12.22307556087252,0.25767653458105316,0.6955001354217529,0.29011046540984814
92,M7,1.0,0.04300059125821876,0.27676964011499783,0.17647058823529413,0.034482758620689655,-0.574212111503912,-0.6931471805599452,0.17647058823529413,0.17647058823529413,0.0,8.643019616048525,0.07632887601339924,0.6266655921936035,0.1709552498155899
93,M0,1.0,0.0057903989336171025,0.24650560658470333,0.25,0.03225806451612903,-0.6931471805599453,-0.6931471805599454,0.2222222222222222,0.25,0.0,3.2342452920962157,0.15118592614872034,0.5353134274482727,0.05188755784089345
93,M1,3.3333333333333335,0.3895175383999706,0.5118701262222642,0.3888888888888889,0.12903225806451613,-0.4087883723074423,-0.5964100243676607,0.3888888888888889,0.4444444444444444,0.12903225806451613,20.556680845025987,0.5317631635193705,0.7125006914138794,0.3819501130368906
93,M2,1.0,0.0320836276873917,0.2638760817226895,0.25,0.03225806451612903,-0.6476238498704129,-0.6931471805599453,0.2222222222222222,0.25,0.0,4.368583925857938,0.1624990500888884,0.5316985845565796,0.04851540220713748
93,M3,1.6666666666666667,0.23609053644437727,0.40419743828941535,0.3611111111111111,0.16129032258064516,-0.5710882667824599,-0.6399484256394403,0.3611111111111111,0.3611111111111111,0.12903225806451613,5.875148471810145,0.15978074616781213,0.5874820947647095,0.13267839405066775
93,M4,2.0,0.0773769238753087,0.28375078956304556,0.25,0.12903225806451613,-0.6398413556904156,-0.6541755412398723,0.2222222222222222,0.2222222222222222,0.06451612903225806,6.754312828675707,0.1385222459549961,0.5639735460281372,0.09058103694794792
93,M5,1.0,0.004732283797343362,0.24967512585326546,0.19444444444444445,0.03225806451612903,-0.6515749781277046,-0.6931471805599453,0.1388888888888889,0.19444444444444445,0.0,4.456882760699063,0.1306152123540896,0.599567711353302,0.14410554300183037
93,M6,1.3333333333333333,0.10892621901972299,0.29251123690787817,0.2777777777777778,0.12903225806451613,-0.6338986704478342,-0.6807637792129464,0.2777777777777778,0.2777777777777778,0.03225806451612903,5.32864224277779,0.14897652390004423,0.5745671987533569,0.09594598557849594
93,M7,1.0,0.0573668855860876,0.2751876007917907,0.1388888888888889,0.12903225806451613,-0.623226560773482,-0.6313206386661863,0.1388888888888889,0.1388888888888889,0.06451612903225806,9.535414040914192,0.22786925380700065,0.566835343837738,0.1950673248422949
94,M0,1.0,0.03539639724664978,0.22665220589803747,0.1694915254237288,0.16666666666666666,-0.6931471805599453,-0.6931471805599452,0.15254237288135594,0.1694915254237288,0.0,3.4197980307804725,0.1251073857608341,0.5236727595329285,0.046369390572139915
94,M1,1.6666666666666667,0.25450262237240084,0.40373897812034254,0.3559322033898305,0.2407407407407407,-0.610681338816746,-0.6390732860297138,0.3559322033898305,0.3559322033898305,0.14814814814814814,18.928624746011366,0.20663161385128737,0.6093099117279053,0.185103070460528
94,M2,1.0,0.055769767986223684,0.242167423431485,0.23728813559322035,0.14814814814814814,-0.6931471805599453,-0.6931471805599453,0.1694915254237288,0.23728813559322035,0.0,4.834632845440431,0.12743639298905993,0.5471734404563904,0.09363558506005368
94,M3,1.3333333333333333,-0.10233404016258163,0.19606098167862218,0.0,0.0,-0.6931471805599453,-0.6931471805599453,0.0,0.0,0.0,4.196114906296549,0.09656547158894413,0.47676700353622437,-0.017195961858022902
94,M4,1.3333333333333333,0.03457937176865089,0.287355890392601,0.06779661016949153,0.018518518518518517,-0.5863903237433792,-0.6931471805599452,0.05084745762711865,0.13559322033898305,0.0,6.27465531099474,0.1410592594304123,0.5971247553825378,0.20164565892348169
94,M5,1.0,-0.08159848616207677,0.20834707373067085,0.06779661016949153,0.0,-0.6931471805599452,-0.6931471805599453,0.06779661016949153,0.06779661016949153,0.0,4.02724819242185,0.10986866852780601,0.4736664891242981,-0.01972647995621759
94,M6,2.0,-0.041736178979047134,0.20919942944550274,0.0847457627118644,0.07407407407407407,-0.6931471805599453,-0.6931471805599453,0.06779661016949153,0.0847457627118644,0.0,7.492442692259767,0.08377718737980747,0.5963864922523499,0.1417524326429804
