System,Utterance,H:mlqe,XBERTScore,XMoverScore (UMD),XMoverScore (CLP),Unsupervised XMoverScore,Unsupervised ContrastScore,Unsupervised XmoverScore + ContrastScore,Fine-tuned XMoverScore,Fine-tuned ContrastScore,Fine-tuned XMoverScore + ContrastScore
9,ru-en,-0.08319280273822273,0.6602367162704468,-1.1093053484311242,-1.1093053484311242,-1.1277685560407655,0.8375071883201599,-0.34165826439857483,-0.8256813600810965,0.9050411581993103,-0.133392333984375
9,ro-en,0.5670589278099121,0.765080451965332,-1.2259604119912202,-1.2259604119912202,-1.105701373270211,0.9400749206542969,-0.2873908281326294,-0.9696154202684071,0.9094834327697754,-0.21797585487365723
9,et-en,0.8420276311263418,0.5302442908287048,-1.1776653360404699,-1.1776653360404699,-1.192159287558279,0.9153607487678528,-0.34915125370025635,-0.8915768485677008,0.9043341875076294,-0.17321240901947021
9,ne-en,-0.15564238139337302,0.6302751302719116,-1.6249248308482263,-1.6249248308482263,-1.4687617767474728,0.819857120513916,-0.553314208984375,-1.2890189905596952,0.9258874654769897,-0.40305641293525696
9,si-en,0.22883113036268118,0.6800054907798767,-1.9818894803072413,-1.9818894803072413,-1.7701792946051513,0.6569123268127441,-0.7993426322937012,-1.5026032064913917,0.7759230136871338,-0.5911927223205566
10,en-de,0.2936394181938813,0.4552953541278839,-1.3025420890731332,-1.3025420890731332,-1.4030977554476203,0.8632904291152954,-0.49654245376586914,-1.0711007130752765,0.8138419389724731,-0.3171236515045166
10,en-zh,0.2978742554893574,0.3974168002605438,-1.2753284597925703,-1.2753284597925703,-1.1498250670430734,0.8604345321655273,-0.34572121500968933,-0.9240179818798417,0.9057914614677429,-0.19209423661231995
10,ru-en,0.7793804729076191,0.5788596272468567,-1.2624127131830698,-1.2624127131830698,-1.3311069428244773,0.936680793762207,-0.4239918291568756,-1.1761920585215182,0.9350881576538086,-0.33167997002601624
10,ro-en,0.5545472759061285,0.6336783170700073,-1.3536705887155054,-1.3536705887155054,-1.3098016839904987,0.7834510803222656,-0.4725005328655243,-0.9256386346458481,0.8311043381690979,-0.22294145822525024
10,et-en,-1.6028293487846679,0.4265744984149933,-1.5804233424690524,-1.5804233424690524,-1.571746006845206,0.7123291492462158,-0.6581159234046936,-1.3906872210616819,0.8292750120162964,-0.5027023553848267
10,ne-en,-0.3612425805659009,0.4924858808517456,-1.6413735818293356,-1.6413735818293356,-1.4455221453116578,0.8503139615058899,-0.527187705039978,-1.2748034840541869,0.7643111944198608,-0.4591576159000397
