System,Utterance,H:pyr,H:resp,S3_pyr,S3_resp,ROUGE_WE_1,ROUGE_WE_2,JS_1,JS_2,ROUGE_L,ROUGE_1,ROUGE_2,BLEU,Chrfpp,BERTScore,MoverScore
36,M33,0.0,0.2,0.07224341793777889,0.3039064574551821,0.0,0.0,-0.34657359027997237,-0.3465735902799724,0.0,0.0,0.0,0.0,0.0,0.19302460551261902,-0.5319743169142792
36,M34,0.471,0.4,0.4973279304138354,0.5755495355101027,0.4444444444444444,0.26184538653366585,-0.35675413149865576,-0.5408202671224476,0.2765432098765432,0.44938271604938274,0.18453865336658354,25.958955312135746,0.3263028206889231,0.6136370301246643,0.16742742614525394
36,M35,0.706,0.6,0.5170639861386174,0.5558848013336629,0.471604938271605,0.2793017456359102,-0.3442146248760065,-0.5787039768705832,0.2716049382716049,0.4740740740740741,0.14713216957605985,26.846216906945877,0.37889615360254253,0.6829442977905273,0.305436998968287
36,M36,0.588,0.4,0.4783732066371901,0.5483306906077416,0.4222222222222222,0.2518703241895262,-0.3427537673441746,-0.5555531097657521,0.23209876543209876,0.42716049382716054,0.1546134663341646,23.71881104818883,0.34817021350921756,0.6230529546737671,0.16122092134487578
36,M37,0.559,0.6,0.5605251469908389,0.6135756433638111,0.46666666666666673,0.314214463840399,-0.3347534703695463,-0.5403806464654275,0.3037037037037037,0.4740740740740741,0.20199501246882792,34.24179039846794,0.37068144104291406,0.665918231010437,0.27409202774972596
36,M38,0.706,0.6,0.5748700216710946,0.6168358198333358,0.48148148148148145,0.3566084788029925,-0.34847134659707785,-0.5347641921425172,0.3012345679012346,0.47901234567901235,0.20947630922693267,25.57390343315108,0.35330296848146986,0.6469081044197083,0.20798767864363538
36,M39,0.147,0.2,0.14397230317595355,0.33418708941362674,0.2518518518518518,0.10224438902743142,-0.541990692228993,-0.6519606918500116,0.1111111111111111,0.2518518518518518,0.05486284289276808,4.6664295782641965,0.30686321311476267,0.5064401626586914,0.035019612665956185
36,M40,0.588,0.6,0.4212062662543151,0.47361109030635573,0.4222222222222222,0.24438902743142144,-0.3926868574203131,-0.6238643831328785,0.2271604938271605,0.4271604938271605,0.08977556109725686,8.198585546154746,0.35209893684238863,0.6146348118782043,0.19298629167724082
36,M41,0.118,0.4,0.452895263736216,0.5036957997160734,0.4469135802469136,0.26932668329177056,-0.3908091186048856,-0.5914125961723532,0.21481481481481482,0.4444444444444445,0.12219451371571072,18.911381166158648,0.345019440229807,0.6158986687660217,0.17061536673774275
36,M42,0.529,0.4,0.4765970524788504,0.5361089494001823,0.4419753086419753,0.27680798004987534,-0.39131403791473374,-0.5804091988989879,0.2222222222222222,0.454320987654321,0.15211970074812967,15.448495284506228,0.34596789311186543,0.6087271571159363,0.15301182463191013
36,M43,0.412,0.4,0.4765970524788504,0.5361089494001823,0.4419753086419753,0.27680798004987534,-0.39131403791473374,-0.5804091988989879,0.2222222222222222,0.454320987654321,0.15211970074812967,15.448495284506228,0.34596789311186543,0.6087271571159363,0.15301182463191013
36,M44,0.441,0.4,0.40454065702374586,0.5144697183848339,0.4074074074074074,0.22194513715710723,-0.41229724596164286,-0.5650600575798927,0.23456790123456786,0.40493827160493834,0.16458852867830423,22.964988344204535,0.3190649133014252,0.6056663990020752,0.1325622070871502
36,M45,0.294,0.4,0.4608877138507924,0.5187321386018657,0.43209876543209874,0.28428927680798005,-0.38341925153549905,-0.5788889160464934,0.2419753086419753,0.4271604938271605,0.14214463840399003,15.287708798064813,0.32615899574077156,0.634421169757843,0.1709093133655484
36,M46,0.529,0.4,0.5034007609710255,0.5819757805133937,0.4320987654320987,0.2743142144638404,-0.36340847625459327,-0.5475432091729413,0.254320987654321,0.4469135802469136,0.19201995012468828,26.02141704874222,0.3588090309023515,0.6447760462760925,0.19823872552160826
36,M47,0.412,0.4,0.5075369240494106,0.5808784810089709,0.4419753086419753,0.286783042394015,-0.36521527805515386,-0.541248801759245,0.3012345679012346,0.44938271604938274,0.1920199501246883,30.612841208201132,0.3388728518542103,0.6533591747283936,0.21179613861707552
36,M48,0.412,0.4,0.5230302213215283,0.5867493754679471,0.4666666666666666,0.30174563591022446,-0.3734308824031203,-0.5402867995546738,0.3111111111111111,0.47160493827160493,0.19451371571072315,32.84320801966846,0.34581269023005323,0.659905731678009,0.2192694863570572
36,M49,0.5,0.6,0.5605251469908389,0.6135756433638111,0.46666666666666673,0.314214463840399,-0.3347534703695463,-0.5403806464654275,0.3037037037037037,0.4740740740740741,0.20199501246882792,34.24179039846794,0.37068144104291406,0.665918231010437,0.27409202774972596
36,M50,0.206,0.4,0.4672450605222507,0.5400114917209728,0.41728395061728396,0.2793017456359102,-0.3807230122286765,-0.5604013976442872,0.24444444444444444,0.4222222222222222,0.16458852867830423,21.17193873786982,0.3251221839268517,0.6252952814102173,0.1256960948278894
36,M51,0.588,0.6,0.5316328523818749,0.5680101424346942,0.5061728395061729,0.30673316708229426,-0.37720817771784243,-0.5726204697331725,0.23703703703703705,0.5037037037037037,0.16708229426433915,28.679350463706918,0.40742679876019045,0.6754966974258423,0.2958467282581367
36,M52,0.118,0.2,0.40741619327008927,0.46928742024892023,0.4246913580246914,0.24189526184538654,-0.41036459295995736,-0.61818123195656,0.21481481481481482,0.4246913580246914,0.09725685785536159,18.25683165091565,0.3271961153778227,0.6255568861961365,0.1996806826989474
36,M53,0.441,0.4,0.31128179366494935,0.4313882814852529,0.34814814814814815,0.19451371571072318,-0.4424039697690654,-0.6111832081955024,0.19012345679012346,0.33827160493827163,0.10473815461346633,12.238905073139035,0.32231141621348247,0.5630874633789062,0.1237140013430355
37,M0,0.682,1.0,0.6560686290759205,0.7686139520245903,0.5049261083743842,0.3781094527363184,-0.34231052110884674,-0.458673195720223,0.3793103448275862,0.5098522167487685,0.34328358208955223,100.00000000000004,0.3648514842187813,0.6827999353408813,0.3544987610610001
37,M1,0.773,1.0,0.7272316960865264,0.807326949711102,0.5517241379310345,0.3855721393034826,-0.2965657876484416,-0.4532969842953607,0.4039408866995074,0.5689655172413793,0.3358208955223881,100.00000000000004,0.43187607286844054,0.7246478199958801,0.42139919074883203
37,M2,0.762,0.8,0.6249963868689289,0.7317250142143514,0.4876847290640394,0.35074626865671643,-0.35367506042133895,-0.46578196683190526,0.37438423645320196,0.5049261083743842,0.31343283582089554,100.00000000000004,1.0,0.7015978693962097,0.38107420455475155
37,M3,0.9,0.8,0.6709970916569202,0.7729212903234095,0.5147783251231527,0.3805970149253732,-0.32015037148842806,-0.4528472989690727,0.37931034482758613,0.5147783251231527,0.3358208955223881,100.00000000000004,0.40666251949182186,0.7043319940567017,0.3913760424803474
37,M4,0.036,0.4,0.15291964027553462,0.33093507715796144,0.27586206896551724,0.11442786069651742,-0.5371905526565879,-0.6441337815833759,0.12561576354679804,0.26354679802955666,0.04975124378109453,4.571613605312396,0.2909253061200835,0.5130858421325684,0.04293803061289006
37,M5,0.071,0.4,0.3012420729238491,0.43411537006081224,0.34236453201970446,0.1517412935323383,-0.4355363717339962,-0.6135247341658333,0.1724137931034483,0.3472906403940887,0.09701492537313433,12.855353412180179,0.3665344246084687,0.5994423031806946,0.183626021095882
